CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.5.0 b422"
LGOROWLENGTH	31
CREATED	"2021-12-06"  # Time: 10:26:28
INSTRUMENTATION	"Unknown"
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=Unknown"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"Unknown"
MEASUREMENT_CONDITION	"Unknown"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Unknown"
# 
KEYWORD	"SAMPLE_ID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	41
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	620
BEGIN_DATA
22	A22	85.6803	-1.5590	-5.2254	0.310407	0.380035	0.434542	0.534620	0.698667	0.768190	0.770758	0.758285	0.729752	0.715467	0.710852	0.725417	0.740205	0.742218	0.730297	0.712428	0.695292	0.672152	0.642380	0.619855	0.621542	0.640434	0.650730	0.653490	0.658831	0.668405	0.679543	0.691873	0.702386	0.706244	0.703071	0.697947	0.693379	0.692678	0.700332	0.707746
23	A23	85.3274	-1.0996	-5.3769	0.308960	0.377378	0.430672	0.532717	0.695545	0.762872	0.765400	0.752732	0.724697	0.709659	0.704592	0.718534	0.732863	0.734105	0.721231	0.703107	0.686535	0.663630	0.633475	0.610719	0.613518	0.634603	0.647928	0.651695	0.657453	0.667047	0.678142	0.690458	0.700982	0.704847	0.701560	0.696692	0.691943	0.690400	0.698257	0.706108
24	A24	85.0697	-0.4460	-5.4166	0.308936	0.378833	0.431412	0.529102	0.690672	0.758615	0.761017	0.748492	0.719703	0.705078	0.698999	0.712023	0.725622	0.725785	0.712360	0.694523	0.678743	0.656140	0.625920	0.603630	0.608787	0.633562	0.648128	0.654308	0.659352	0.669157	0.680352	0.692758	0.703215	0.707062	0.703870	0.698957	0.694227	0.693650	0.701158	0.708665
25	A25	84.7273	0.2299	-5.5861	0.307833	0.375632	0.429243	0.528760	0.688289	0.754687	0.757089	0.743984	0.715120	0.699145	0.692392	0.704128	0.716697	0.716255	0.702487	0.684244	0.668845	0.647294	0.617584	0.595300	0.601839	0.628884	0.647385	0.653532	0.659962	0.669973	0.681232	0.694223	0.704794	0.708572	0.705537	0.700606	0.696456	0.695324	0.702430	0.709497
26	A26	84.3672	0.8819	-5.8423	0.306287	0.374045	0.426563	0.525853	0.685085	0.752165	0.753760	0.740127	0.710633	0.694558	0.687128	0.697680	0.708927	0.707238	0.692389	0.673864	0.659083	0.637955	0.608098	0.585990	0.594275	0.625292	0.645346	0.652953	0.659705	0.669769	0.681281	0.693652	0.704056	0.707871	0.704858	0.700028	0.695506	0.694143	0.701948	0.709753
27	A27	83.8730	1.3947	-5.8786	0.303750	0.371423	0.425450	0.522957	0.679303	0.742560	0.744186	0.730213	0.701010	0.684142	0.676125	0.686754	0.698211	0.696558	0.681062	0.662312	0.647683	0.626285	0.596271	0.574192	0.583865	0.617459	0.640412	0.649198	0.656683	0.666962	0.678275	0.690692	0.701243	0.704978	0.701843	0.696927	0.692235	0.691485	0.698683	0.705885
28	A28	83.5778	1.8747	-6.0139	0.303112	0.369508	0.419369	0.515503	0.672851	0.738658	0.740658	0.726678	0.697090	0.679574	0.671258	0.680987	0.691508	0.689252	0.673137	0.654472	0.640149	0.619025	0.589382	0.566227	0.577340	0.614015	0.638937	0.648562	0.655885	0.666176	0.678037	0.690500	0.701093	0.705107	0.701839	0.697217	0.692372	0.691903	0.699885	0.707373
29	A29	85.5403	-1.6092	-4.5053	0.307590	0.376023	0.427877	0.528488	0.689182	0.754945	0.757695	0.745758	0.717526	0.702737	0.698885	0.716144	0.733861	0.737478	0.726705	0.709763	0.693049	0.670316	0.639956	0.617040	0.618820	0.638635	0.649738	0.652528	0.658335	0.667848	0.679035	0.691387	0.702072	0.705885	0.702562	0.697562	0.692937	0.691838	0.699612	0.707385
30	A30	85.1268	-1.1504	-4.4963	0.305702	0.373635	0.424828	0.521390	0.679542	0.746255	0.748752	0.737177	0.708948	0.694243	0.690459	0.707523	0.724687	0.727678	0.716412	0.698921	0.682667	0.660173	0.629559	0.607027	0.610283	0.633238	0.645941	0.650650	0.655698	0.665392	0.676495	0.688868	0.699455	0.703162	0.700107	0.694819	0.690447	0.689051	0.697100	0.704977
31	A31	84.9139	-0.4300	-4.7472	0.305545	0.372471	0.423047	0.523577	0.682014	0.747147	0.749140	0.736701	0.707452	0.691889	0.686956	0.702482	0.718621	0.720710	0.708661	0.691182	0.675562	0.653424	0.623470	0.601349	0.605715	0.631365	0.646952	0.652861	0.659142	0.669100	0.680414	0.692877	0.703483	0.707173	0.703904	0.698855	0.694322	0.693416	0.700839	0.708190
32	B1	85.8078	0.1789	-4.9659	0.317504	0.387117	0.439192	0.540988	0.704553	0.771718	0.772698	0.758905	0.729226	0.713223	0.706632	0.719094	0.732687	0.733641	0.721174	0.704435	0.689568	0.669336	0.641500	0.620663	0.626432	0.652523	0.668422	0.674247	0.680785	0.690752	0.702023	0.714013	0.724037	0.727397	0.724230	0.719632	0.715782	0.715427	0.722689	0.729306
33	B2	85.3063	0.6712	-5.0469	0.313886	0.383583	0.433996	0.531257	0.693248	0.761544	0.763545	0.750010	0.720273	0.703927	0.696711	0.708837	0.721980	0.722312	0.709383	0.692233	0.677817	0.657420	0.629345	0.608005	0.615650	0.644125	0.662623	0.670002	0.677292	0.687427	0.698707	0.710840	0.720797	0.724132	0.721145	0.716737	0.712538	0.712012	0.719694	0.727287
34	B3	84.8604	1.1821	-5.1650	0.310702	0.378083	0.428079	0.528296	0.688243	0.754757	0.756170	0.742098	0.712050	0.695520	0.688444	0.700250	0.712428	0.711972	0.698453	0.680840	0.666753	0.646463	0.618558	0.597364	0.606092	0.638283	0.658863	0.666701	0.673795	0.683983	0.695573	0.707930	0.717933	0.721413	0.718288	0.713661	0.709947	0.709314	0.716707	0.724002
35	B4	84.4868	1.6974	-5.3227	0.309002	0.376508	0.426030	0.523898	0.683631	0.750303	0.750953	0.736737	0.706220	0.689553	0.681602	0.692387	0.704108	0.703153	0.688917	0.671308	0.657537	0.637725	0.609237	0.587945	0.598038	0.632480	0.655547	0.665139	0.672245	0.682662	0.694302	0.706548	0.716515	0.720256	0.716892	0.712025	0.708247	0.707670	0.715267	0.722863
36	B5	86.3461	-1.7190	-3.7836	0.313028	0.382359	0.432018	0.534047	0.696667	0.763686	0.765721	0.753237	0.724600	0.710350	0.707377	0.725777	0.744552	0.749674	0.740613	0.724880	0.708877	0.686962	0.659185	0.637677	0.638470	0.656455	0.665213	0.667954	0.673255	0.682838	0.693885	0.706090	0.716192	0.719541	0.716462	0.711897	0.707397	0.706753	0.714830	0.722418
37	B6	86.2103	-1.1879	-3.8953	0.313725	0.383656	0.433088	0.533751	0.695467	0.763448	0.765058	0.752145	0.723448	0.708761	0.705041	0.722307	0.740172	0.744288	0.734987	0.719202	0.703863	0.682578	0.654467	0.633405	0.636205	0.655727	0.667287	0.671114	0.675987	0.685864	0.696790	0.708932	0.719032	0.722513	0.719450	0.714965	0.710823	0.710368	0.718745	0.726882
38	B7	85.7717	-0.6761	-3.9045	0.311247	0.378337	0.429582	0.528493	0.688533	0.754113	0.755832	0.743370	0.714620	0.699622	0.695548	0.712332	0.729780	0.733575	0.723712	0.707667	0.693027	0.671868	0.643788	0.622423	0.626528	0.649970	0.663033	0.667845	0.673849	0.683739	0.695110	0.707341	0.717071	0.720545	0.717787	0.713159	0.708612	0.707902	0.715441	0.723611
39	B8	85.3219	-0.0577	-4.0064	0.309038	0.376890	0.425806	0.523376	0.682580	0.747932	0.748967	0.735749	0.705984	0.690611	0.686142	0.702390	0.719372	0.722700	0.711922	0.695830	0.681540	0.660740	0.632355	0.610975	0.617005	0.643263	0.660147	0.665863	0.672153	0.682127	0.693340	0.705568	0.715765	0.719303	0.716267	0.711695	0.707630	0.706980	0.714477	0.722674
40	B9	84.8729	0.5298	-4.1042	0.306838	0.373804	0.422157	0.520627	0.676323	0.739845	0.741132	0.727840	0.698682	0.682490	0.677138	0.692443	0.708812	0.711670	0.700523	0.684215	0.670459	0.649747	0.621130	0.599932	0.607664	0.637080	0.656303	0.662975	0.670206	0.680310	0.691754	0.704027	0.714220	0.717877	0.714736	0.710169	0.705896	0.704997	0.712268	0.719548
41	B10	84.3766	1.0969	-4.2068	0.304180	0.370892	0.417852	0.512973	0.667752	0.731460	0.732615	0.719363	0.689749	0.673544	0.667761	0.682401	0.698464	0.700626	0.688463	0.672070	0.658470	0.637954	0.608825	0.587605	0.596783	0.630013	0.651687	0.659938	0.667168	0.677405	0.688807	0.701015	0.711398	0.715017	0.711955	0.707230	0.703058	0.702487	0.709338	0.716425
42	B11	83.5893	1.6567	-4.4015	0.298822	0.364062	0.412363	0.506000	0.657200	0.717590	0.718738	0.706303	0.676327	0.659472	0.653442	0.667850	0.683192	0.684581	0.671522	0.654673	0.641164	0.621075	0.591299	0.568892	0.580408	0.616823	0.640970	0.650762	0.658428	0.668868	0.680368	0.692882	0.703387	0.707162	0.703968	0.699353	0.695098	0.694123	0.701338	0.708719
43	B12	85.4461	-1.8733	-2.8531	0.301704	0.368994	0.421827	0.517105	0.671475	0.732172	0.732393	0.721543	0.693520	0.679306	0.678195	0.700115	0.722974	0.730567	0.723273	0.708251	0.692596	0.669687	0.640391	0.617910	0.619718	0.638985	0.649932	0.653118	0.658272	0.667712	0.678658	0.690878	0.701290	0.705065	0.701912	0.697022	0.692653	0.691667	0.699307	0.706837
44	B13	85.1566	-1.5440	-2.8997	0.300841	0.367217	0.416267	0.512512	0.665872	0.726562	0.727412	0.716348	0.688442	0.673820	0.672560	0.694707	0.717310	0.724330	0.716177	0.700645	0.685222	0.662855	0.632913	0.610415	0.613418	0.635012	0.647440	0.650923	0.656695	0.666188	0.677310	0.689635	0.700178	0.703983	0.700757	0.695847	0.691318	0.690423	0.698055	0.705690
45	B14	84.9211	-0.8421	-3.3059	0.301494	0.367080	0.413582	0.509547	0.665011	0.728183	0.729903	0.717730	0.688792	0.673763	0.671057	0.690975	0.711869	0.717642	0.708711	0.692919	0.677784	0.655212	0.625812	0.603538	0.608050	0.632710	0.648018	0.653097	0.658737	0.668495	0.679747	0.692113	0.702600	0.706325	0.703185	0.698282	0.693940	0.693512	0.700928	0.708343
46	B15	84.6547	-0.2261	-3.3724	0.301513	0.366823	0.413990	0.510052	0.662162	0.723590	0.725308	0.713359	0.684751	0.668905	0.665992	0.685217	0.704958	0.709863	0.699760	0.684402	0.669677	0.647916	0.618780	0.596820	0.602548	0.630518	0.648028	0.653635	0.660477	0.670490	0.681959	0.694412	0.704865	0.708652	0.705585	0.700742	0.696308	0.695268	0.702598	0.709927
47	B16	84.2044	0.3206	-3.3832	0.297938	0.363365	0.413237	0.504858	0.655069	0.716249	0.716977	0.704512	0.675354	0.659382	0.655977	0.674850	0.694572	0.699262	0.688860	0.672815	0.658773	0.637618	0.607593	0.585313	0.593526	0.624600	0.644137	0.651598	0.658298	0.668397	0.679430	0.691765	0.702455	0.706415	0.703206	0.698135	0.693603	0.692870	0.700723	0.708268
48	B17	83.8893	1.0510	-3.8498	0.296866	0.361336	0.415317	0.509552	0.660581	0.717642	0.716941	0.704124	0.674535	0.658090	0.653467	0.670287	0.688041	0.691500	0.679945	0.663023	0.649353	0.628668	0.599220	0.577402	0.587251	0.620875	0.642823	0.651824	0.658964	0.669184	0.680431	0.692717	0.703120	0.706828	0.703589	0.699197	0.694753	0.693916	0.701477	0.708861
49	B18	83.5855	1.6305	-3.9570	0.295650	0.360703	0.409670	0.503008	0.653835	0.713113	0.713134	0.700081	0.670267	0.653237	0.648125	0.663993	0.681002	0.683373	0.670985	0.654555	0.641130	0.620820	0.591558	0.569655	0.580690	0.617718	0.642232	0.651873	0.659260	0.669617	0.680947	0.693340	0.703780	0.707652	0.704532	0.699857	0.695442	0.695010	0.702507	0.710012
50	B19	78.2870	-3.1942	-7.7698	0.250488	0.315828	0.366805	0.450236	0.580773	0.635678	0.643238	0.638835	0.615125	0.600632	0.598309	0.617467	0.635989	0.636320	0.617950	0.592064	0.567582	0.534549	0.492830	0.461545	0.463253	0.490028	0.506606	0.511338	0.516769	0.525391	0.535665	0.549100	0.562560	0.568318	0.564662	0.557717	0.549557	0.545590	0.555014	0.564511
51	B20	77.8450	-2.5591	-7.9996	0.249224	0.314503	0.362751	0.444099	0.574517	0.630203	0.638345	0.633700	0.609815	0.595202	0.592058	0.609765	0.627057	0.626438	0.607545	0.581793	0.557770	0.524759	0.483431	0.452072	0.455288	0.485386	0.503813	0.509733	0.515096	0.523803	0.534110	0.547557	0.561100	0.566882	0.563286	0.556215	0.548084	0.544381	0.554168	0.564167
52	B21	77.4187	-2.1015	-7.9086	0.246222	0.309953	0.359472	0.441312	0.568515	0.622210	0.629468	0.624957	0.600658	0.585377	0.582027	0.600101	0.617677	0.617008	0.597851	0.572267	0.548585	0.516563	0.475420	0.443783	0.448332	0.480200	0.500560	0.506964	0.512940	0.521760	0.532292	0.545920	0.559650	0.565428	0.561702	0.554650	0.546487	0.542512	0.551858	0.561497
53	B22	76.9729	-1.6560	-7.9189	0.243587	0.307952	0.357180	0.436026	0.561872	0.614635	0.621347	0.616835	0.592483	0.577467	0.573737	0.590882	0.608083	0.607332	0.588035	0.562593	0.539606	0.507656	0.466655	0.435733	0.441217	0.474957	0.496532	0.504083	0.509880	0.518737	0.529258	0.542862	0.556540	0.562410	0.558727	0.551520	0.543365	0.539575	0.548653	0.557727
