CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.5.0 b422"
LGOROWLENGTH	31
CREATED	"2021-12-06"  # Time: 10:25:09
INSTRUMENTATION	"KONICA MINOLTA, INC. FD-9"
INSTRUMENT_SN	""
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=Unknown"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"Unknown"
MEASUREMENT_CONDITION	"Unknown"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Unknown"
# 
KEYWORD	"SAMPLE_ID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	41
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	620
BEGIN_DATA
9	A9	84.9096	1.7711	-7.6166	0.320860	0.392674	0.454914	0.553737	0.720146	0.790216	0.791689	0.775698	0.745614	0.728727	0.717283	0.720258	0.724318	0.718102	0.700378	0.679924	0.665317	0.645276	0.616461	0.594945	0.603424	0.636112	0.657895	0.666126	0.674141	0.684310	0.695629	0.707977	0.718476	0.722028	0.719089	0.714092	0.709896	0.708580	0.715485	0.722390
10	A10	84.1216	2.4157	-8.0336	0.312418	0.384216	0.441175	0.539688	0.707744	0.779258	0.781470	0.765844	0.734150	0.717089	0.704525	0.706219	0.709380	0.702109	0.683106	0.662147	0.647337	0.627367	0.598744	0.575620	0.586468	0.623557	0.648323	0.657539	0.664478	0.674998	0.686721	0.699468	0.709999	0.713869	0.710199	0.705718	0.701461	0.701155	0.708716	0.716277
11	A11	83.4611	3.0708	-8.2563	0.310218	0.378672	0.429001	0.532604	0.699533	0.768696	0.770967	0.754520	0.723816	0.705287	0.692038	0.693585	0.696029	0.688411	0.668594	0.646930	0.632748	0.612405	0.582366	0.560286	0.572198	0.613182	0.639903	0.651110	0.659888	0.670800	0.682353	0.694954	0.705753	0.709888	0.706179	0.701453	0.697287	0.696697	0.704137	0.711578
12	A12	82.8845	4.0288	-8.6168	0.309824	0.376663	0.429991	0.527861	0.693055	0.762809	0.765374	0.747738	0.716215	0.697238	0.683085	0.682153	0.683091	0.674157	0.653456	0.631702	0.618066	0.598019	0.568203	0.546095	0.561270	0.606212	0.637029	0.649716	0.657844	0.668690	0.680453	0.693164	0.703985	0.707782	0.704402	0.699741	0.695136	0.694673	0.701585	0.708496
13	A13	82.1720	4.6447	-8.7933	0.303290	0.370637	0.424028	0.524212	0.684224	0.750927	0.752233	0.735031	0.703986	0.684294	0.669460	0.668294	0.669048	0.659435	0.637398	0.616446	0.602705	0.583375	0.552669	0.530190	0.545972	0.594451	0.628617	0.642024	0.651626	0.662609	0.674430	0.687017	0.697986	0.701917	0.698638	0.693646	0.688918	0.688627	0.695391	0.702156
14	A14	81.7051	5.6285	-9.1151	0.303730	0.370716	0.425887	0.520201	0.678787	0.745927	0.747388	0.730824	0.698357	0.678571	0.662832	0.659909	0.658980	0.648368	0.625034	0.603302	0.590170	0.570450	0.540580	0.518666	0.537135	0.589127	0.627039	0.643071	0.652884	0.664123	0.676053	0.688528	0.699189	0.703158	0.699982	0.695595	0.690676	0.689848	0.697749	0.705650
15	A15	84.7726	0.8492	-7.4692	0.315966	0.387777	0.444298	0.545776	0.713528	0.783228	0.785586	0.770866	0.740722	0.723396	0.713360	0.719098	0.725551	0.720840	0.703835	0.683115	0.666876	0.645065	0.615683	0.593187	0.599457	0.629536	0.648128	0.655461	0.661748	0.671873	0.683242	0.695808	0.706298	0.710336	0.706781	0.701654	0.697563	0.696514	0.704885	0.713256
16	A16	84.1609	1.6050	-7.2647	0.312345	0.380961	0.442418	0.537854	0.699085	0.767268	0.769332	0.754562	0.725459	0.708247	0.698653	0.704297	0.710290	0.705110	0.687585	0.667127	0.651949	0.630680	0.601097	0.578616	0.587367	0.620990	0.643992	0.652759	0.660005	0.670227	0.681549	0.694018	0.704494	0.708292	0.705061	0.700627	0.696154	0.694711	0.703215	0.711719
17	A17	83.3781	2.8371	-7.8510	0.307417	0.374413	0.434548	0.534357	0.695634	0.761172	0.762042	0.746820	0.716047	0.698090	0.686789	0.690173	0.694238	0.687025	0.667097	0.645858	0.631557	0.610885	0.582592	0.559530	0.572195	0.611009	0.638159	0.648939	0.656735	0.667178	0.678724	0.691141	0.701344	0.705313	0.702368	0.697703	0.694367	0.692539	0.701093	0.709647
18	A18	83.3997	3.0324	-7.5695	0.307361	0.375583	0.423283	0.527919	0.690081	0.756795	0.759132	0.744021	0.713931	0.695420	0.684188	0.687442	0.691888	0.685135	0.666061	0.645474	0.631548	0.611081	0.581721	0.559488	0.572662	0.613015	0.641295	0.652272	0.659892	0.670798	0.682528	0.695085	0.705768	0.709538	0.706495	0.701807	0.697638	0.696907	0.703581	0.710254
